Acronym,URI,Title,Type,Fairsharing,CPP,default query,protocol,body,accept,result format,distinctive property,distinctive namespace,response code,comment
IVOA-SIA,https://www.ivoa.net/documents/SIA/,Simple Image Access,doc,,,,,,,,,,,
IVOA-SIA,https://doi.org/10.5479/ADS/bib/2015ivoa.spec.1223D,Simple Image Access,doc,,,,,,,,,,,
IVOA-SSA,https://www.ivoa.net/documents/SSA/,Simple Spectral Access,doc,,,,,,,,,,,
IVOA-SSA,https://doi.org/10.5479/ADS/bib/2012ivoa.spec.0210T,Simple Spectral Access,doc,,,,,,,,,,,
IVOA-SSA,ivo://ivoa.net/std/SSA,Simple Spectral Access,doc,,,,,,,,,,,
IVOA-SLAP,https://www.ivoa.net/documents/SLAP/,Simple Line Access Protocol,doc,,,,,,,,,,,
IVOA-SLAP,https://doi.org/10.5479/ADS/bib/2010ivoa.specQ1209O,Simple Line Access Protocol,doc,,,,,,,,,,,
IVOA-SLAP,ivo://ivoa.net/std/SLAP,Simple Line Access Protocol,doc,,,,,,,,,,,
IVOA-TAP,https://www.ivoa.net/documents/TAP/,Table Access Protocol,doc,,,,,,,,,,,
IVOA-VOSpace,https://www.ivoa.net/documents/VOSpace,"VOSpace, the IVOA interface to distributed storage",doc,,,,,,,,,,,
IVOA-VOSpace,https://doi.org/10.5479/ADS/bib/2018ivoa.spec.0621G,"VOSpace, the IVOA interface to distributed storage",doc,,,,,,,,,,,
,,,,,,,REST,,,,,,,
NetCDF,https://www.unidata.ucar.edu/software/netcdf/,NetCDF (OPeNDAP),doc,,,{endpointURI}.html,GET,,text/html,HTML,OPeNDAP,,,200,
